# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
94-26-8	butylparaben	C038091	94-26-8	BSN	8927	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	BTBD16	118663	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C1GALT1B	337131	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C3A.1	321046	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C3A.2	30491	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C3A.6	494039	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C3B.2	566347	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C3C	100328094	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C5	727	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C6AST3	541399	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C6AST4	574001	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C8A	731	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C8B	732	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C8G	733	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	C9	735	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CACNA1A	773	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNA1C	775	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNA1D	776	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNA1E	777	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNA1F	778	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNA1G	8913	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNA1H	8912	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNA1I	8911	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNA2D1	781	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNA2D2	9254	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNA2D3	55799	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNB1	782	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNB2	783	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNB3	784	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNG2	10369	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNG5	27091	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNG6	59285	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CACNG8	59283	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CALB2	794	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	CAMK1A	555945	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CAMK2B	816	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CASK	8573	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CASP8	841	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CAT	847	Rattus norvegicus	10116	29350491
94-26-8	butylparaben	C038091	94-26-8	CBLB	868	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CBLN11	100149559	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CCDC149A	449999	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CCK	885	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CCN4B	792714	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CCNA1	8900	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CCNA2	890	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CCNB1L	447870	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CCNB2	9133	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CCND1	595	Homo sapiens	9606	23524099|24481588
94-26-8	butylparaben	C038091	94-26-8	CCND3	896	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CCNE1	898	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CCNE2	9134	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CD164L2	388611	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CD28	940	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	CD44	960	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	CDC25A	993	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CDK2	1017	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CDK4	1019	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CDK6	1021	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CDKN1A	1026	Homo sapiens	9606	24481588
94-26-8	butylparaben	C038091	94-26-8	CEBPA	1050	Homo sapiens	9606	22956630
