# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
106-99-0	"1,3-butadiene"	C031763	106-99-0	BAX	581	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BCL11A	53335	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BCL11B	64919	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BCL2L1	598	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BCL3	602	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BCL6B	255877	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BCL9	607	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BCL9L	283149	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BDH1	622	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BEST3	144453	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BHMT	635	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BHMT2	23743	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BIN2	51411	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BIRC5	332	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BLK	640	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BLVRB	645	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BRD4	23476	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BTG1	694	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BTG2	7832	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BTK	695	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BTLA	151888	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BTNL2	56244	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	C1QTNF3	114899	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	C4BP	12269	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	C8A	731	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	C8B	732	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	C9	735	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CACNA1D	776	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CACNA1E	777	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CACNA1H	8912	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CALB1	793	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CALCA	796	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CAMK1D	57118	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CAMK4	814	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CAMTA2	23125	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CAR3	12350	Mus musculus	10090	21147608
106-99-0	"1,3-butadiene"	C031763	106-99-0	CARD11	84433	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CARD6	84674	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CARMN	728264	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CARNS1	57571	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CARS	27267	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CASP3	836	Mus musculus	10090	21147608
106-99-0	"1,3-butadiene"	C031763	106-99-0	CASS4	57091	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CASZ1	54897	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CBFA2T3	863	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CBR3	874	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCDC183	84960	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCDC81	60494	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCDC88B	283234	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCL22	6367	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCL27B	100040048	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCL6	20305	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCN1	3491	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCN2	1490	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCNB1	891	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCNB2	9133	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCR2	729230	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCR3	1232	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCR5	1234	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCR6	1235	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CCR7	1236	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD163	9332	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD177	57126	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD180	4064	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD19	930	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD2	914	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD207	50489	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD209C	170776	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD22	933	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD244	51744	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD27	939	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD274	29126	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD28	940	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD300A	11314	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD36	948	Mus musculus	10090	21147608
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD37	951	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD3E	916	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD4	920	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD48	962	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD52	1043	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD6	923	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD69	969	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD72	971	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD79A	973	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD79B	974	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD83	9308	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CD8A	925	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CDCA3	83461	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CDK1	983	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CDKN1A	1026	Mus musculus	10090	21147608|29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CDKN1C	1028	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CDKN3	1033	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CELA2A	63036	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CENPF	1063	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CENPH	64946	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CERKL	375298	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CES1A	244595	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CES1B	382044	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CES1D	104158	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CES1F	234564	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CES1G	12623	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CES2A	102022	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CFAP77	389799	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CHAC1	79094	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CHAD	1101	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	CHIA1	81600	Mus musculus	10090	29038090
