,GeneID,CTD
594,100381239,AIA12
595,100381243,AIA13
596,100381227,AIA14
597,100381244,AIA15
598,100381222,AIA16
599,100381237,AIA17
600,100381236,AIA18
601,100381218,AIA19
602,107462,AIA2
603,100381228,AIA20
604,100381226,AIA21
605,100381217,AIA22
606,100381230,AIA23
607,100381235,AIA24
608,100381238,AIA25
609,100381245,AIA26
610,100381242,AIA27
611,326478,AIA3
612,326479,AIA4
613,326348,AIA5
614,100381225,AIA6
615,100381229,AIA7
616,100381232,AIA8
617,100381221,AIA9
618,57379,AICDA
619,64853,AIDA
620,199,AIF1
621,83543,AIF1L
622,9131,AIFM1
623,84883,AIFM2
624,150209,AIFM3
625,51390,AIG1
628,9447,AIM2
629,9255,AIMP1
630,7965,AIMP2
631,9049,AIP
632,23746,AIPL1
633,326,AIRE
634,55966,AJAP1
635,389813,AJM1
636,84962,AJUBA
637,203,AK1
638,204,AK2
639,50808,AK3
640,205,AK4
641,26289,AK5
642,102157402,AK6
643,122481,AK7
644,158067,AK8
645,221264,AK9
646,642597,AKAIN1
647,8165,AKAP1
648,11216,AKAP10
649,11215,AKAP11
650,9590,AKAP12
651,11214,AKAP13
652,158798,AKAP14
653,8227,AKAP17A
654,338351,AKAP17B
655,298024,AKAP2
656,10566,AKAP3
657,8852,AKAP4
658,9495,AKAP5
659,9472,AKAP6
660,9465,AKAP7
661,10270,AKAP8
662,26993,AKAP8L
663,10142,AKAP9
664,56672,AKIP1
665,79647,AKIRIN1
666,55122,AKIRIN2
667,80709,AKNA
668,254268,AKNAD1
669,11648,AKP3
670,10327,AKR1A1
671,231,AKR1B1
672,57016,AKR1B10
674,298931,AKR1B1-PS1
675,500301,AKR1B1-PS2
676,688395,AKR1B1-PS3
677,11997,AKR1B7
678,14187,AKR1B8
679,1645,AKR1C1
680,622402,AKR1C12
681,498790,AKR1C12L1
682,27384,AKR1C13
683,105387,AKR1C14
684,361267,AKR1C15
686,432720,AKR1C19
687,1646,AKR1C2
689,8644,AKR1C3
693,6718,AKR1D1
695,83592,AKR1E2
696,8574,AKR7A2
697,22977,AKR7A3
699,207,AKT1
700,84335,AKT1S1
701,208,AKT2
702,10000,AKT3
703,64400,AKTIP
704,210,ALAD
705,211,ALAS1
706,212,ALAS2
707,213,ALB
708,408094,ALC10
709,408098,ALC11
710,408095,ALC12
711,408097,ALC13
712,408167,ALC14
713,408149,ALC15
714,408152,ALC16
715,408159,ALC17
716,326526,ALC18
717,326528,ALC19
718,326532,ALC20
719,100302902,ALC21
720,100303356,ALC22
721,100873072,ALC23
722,103611064,ALC24
723,103611065,ALC25
724,103611066,ALC26
725,103611067,ALC27
726,103611068,ALC28
727,103611069,ALC29
728,103611070,ALC30
729,103611071,ALC31
730,103611072,ALC32
731,103611073,ALC33
732,103611074,ALC34
733,103611075,ALC35
734,103611076,ALC36
735,103611077,ALC37
736,387366,ALC4
737,387367,ALC5
738,387368,ALC6
739,387369,ALC7
740,387370,ALC8
741,408092,ALC9
742,214,ALCAM
743,492948,ALCRSP1
744,100303252,ALCRSP10
745,100303059,ALCRSP11
746,100303058,ALCRSP12
747,100303113,ALCRSP13
748,100302904,ALCRSP14
749,100303112,ALCRSP17
750,100303060,ALCRSP18
751,100423050,ALCRSP19
752,492949,ALCRSP2
753,100423051,ALCRSP20
754,100423052,ALCRSP21
755,100423053,ALCRSP22
756,100423059,ALCRSP23
757,100423056,ALCRSP24
758,100423055,ALCRSP25
759,100423057,ALCRSP26
760,100423054,ALCRSP27
761,100423058,ALCRSP28
762,100034958,ALCRSP3
763,492950,ALCRSP4
