,GeneID,Symbol
588,130399,ACVR1C
589,92,ACVR2A
590,93,ACVR2B
591,94,ACVRL1
592,95,ACY1
593,91703,ACY3
594,97,ACYP1
595,98,ACYP2
596,104253,AD
597,100,ADA
598,132612,ADAD1
599,161931,ADAD2
600,161823,ADAL
601,102,ADAM10
602,4185,ADAM11
603,8038,ADAM12
604,8751,ADAM15
605,6868,ADAM17
606,8749,ADAM18
607,8728,ADAM19
608,8759,ADAM1A
609,100420505,ADAM1B
610,2515,ADAM2
611,8748,ADAM20
612,8747,ADAM21
613,53616,ADAM22
614,8745,ADAM23
615,13526,ADAM24
616,23793,ADAM25
617,13525,ADAM26A
618,382007,ADAM26B
619,10863,ADAM28
620,11086,ADAM29
621,11497,ADAM3
622,11085,ADAM30
623,203102,ADAM32
624,80332,ADAM33
625,252866,ADAM34
626,384813,ADAM34L
627,546055,ADAM39
628,11498,ADAM4
629,255926,ADAM5
631,238406,ADAM6A
632,238405,ADAM6B
633,8756,ADAM7
634,101,ADAM8
635,8754,ADAM9
636,27299,ADAMDEC1
637,9510,ADAMTS1
638,81794,ADAMTS10
639,81792,ADAMTS12
640,11093,ADAMTS13
641,140766,ADAMTS14
642,170689,ADAMTS15
643,170690,ADAMTS16
644,170691,ADAMTS17
645,170692,ADAMTS18
646,171019,ADAMTS19
647,9509,ADAMTS2
648,80070,ADAMTS20
649,9508,ADAMTS3
650,9507,ADAMTS4
651,11096,ADAMTS5
652,11174,ADAMTS6
653,11173,ADAMTS7
654,11095,ADAMTS8
655,56999,ADAMTS9
656,92949,ADAMTSL1
657,9719,ADAMTSL2
658,57188,ADAMTSL3
659,54507,ADAMTSL4
660,339366,ADAMTSL5
661,11033,ADAP1
662,55803,ADAP2
663,105242792,ADAP2OS
664,103,ADAR
665,104,ADARB1
666,105,ADARB2
667,23536,ADAT1
668,134637,ADAT2
669,113179,ADAT3
670,117013,ADAZ1
671,100035841,ADBG1
672,57143,ADCK1
673,90956,ADCK2
675,203054,ADCK5
676,107,ADCY1
677,55811,ADCY10
678,108,ADCY2
679,109,ADCY3
680,196883,ADCY4
681,111,ADCY5
682,112,ADCY6
683,113,ADCY7
684,114,ADCY8
685,115,ADCY9
686,116,ADCYAP1
687,117,ADCYAP1R1
688,118,ADD1
689,119,ADD2
690,120,ADD3
691,110852,ADFP-PS
692,79747,ADGB
693,84435,ADGRA1
694,25960,ADGRA2
695,166647,ADGRA3
696,575,ADGRB1
697,576,ADGRB2
698,577,ADGRB3
699,283383,ADGRD1
700,674251,ADGRD2-PS
701,2015,ADGRE1
702,52614,ADGRE4
703,976,ADGRE5
704,266977,ADGRF1
705,222611,ADGRF2
706,165082,ADGRF3
707,221393,ADGRF4
708,221395,ADGRF5
709,9289,ADGRG1
710,10149,ADGRG2
711,222487,ADGRG3
712,139378,ADGRG4
713,221188,ADGRG5
714,57211,ADGRG6
715,84873,ADGRG7
716,22859,ADGRL1
717,23266,ADGRL2
718,23284,ADGRL3
719,64123,ADGRL4
720,84059,ADGRV1
721,11522,ADH1
723,110991,ADH1-PS
724,110997,ADH1-PS2
725,127,ADH4
726,128,ADH5
727,11533,ADH5-PS1
728,69117,ADH6A
729,100417514,ADH6B
730,639769,ADH6-PS1
731,131,ADH7
732,137872,ADHFE1
733,55256,ADI1
734,149685,ADIG
735,114337,ADIP1
736,100035121,ADIP10
737,100035122,ADIP11
738,100035617,ADIP12
739,100036088,ADIP13
740,100035123,ADIP14
741,100035872,ADIP15
742,100035124,ADIP16
743,100035873,ADIP17
744,100035125,ADIP18
745,114342,ADIP2
746,114343,ADIP3
747,114344,ADIP4
748,114345,ADIP5
749,114347,ADIP6
750,114346,ADIP7
751,114348,ADIP8
752,100035729,ADIP9
753,9370,ADIPOQ
755,51094,ADIPOR1
756,79602,ADIPOR2
757,132,ADK
758,133,ADM
759,79924,ADM2
760,23394,ADNP
761,22850,ADNP2
762,84890,ADO
763,134,ADORA1
764,135,ADORA2A
765,136,ADORA2B
766,140,ADORA3
767,83440,ADPGK
768,141,ADPRH
769,113622,ADPRHL1
770,100206,ADPRHL2
771,56985,ADPRM
772,148,ADRA1A
773,147,ADRA1B
774,146,ADRA1D
775,150,ADRA2A
776,151,ADRA2B
777,152,ADRA2C
778,153,ADRB1
779,154,ADRB2
780,155,ADRB3
781,107739,ADRE
782,11047,ADRM1
783,109859,ADS1
784,104216,ADS2
785,109860,ADS3
786,104132,ADS4
787,158,ADSL
788,11566,ADSS
789,11565,ADSSL1
790,84830,ADTRP
791,100036465,ADVH1
792,100036367,ADVH2
793,100035375,ADVH3
794,100035980,ADVH4
795,165,AEBP1
796,121536,AEBP2
797,110202,AECP
798,107710,AEM1
799,109480,AEM2
800,109484,AEM3
801,64782,AEN
803,100036226,AEVM1
804,100034865,AEVM2
805,112089,AEYO
806,50740,AF007000
807,236546,AF067061
808,380878,AF067063
809,104748,AF070003
810,171540,AF179933
811,171536,AF179935
812,171539,AF179939
813,171541,AF179942
814,171537,AF179997
815,171535,AF180007
816,171532,AF180010
817,79195,AF313042
