,GeneID,Symbol
608,4301,AFDN
609,653483,AFDN-DT
610,4299,AFF1
611,100506746,AFF1-AS1
612,2334,AFF2
613,100874269,AFF2-IT1
614,3899,AFF3
615,27125,AFF4
616,246269,AFG1L
617,172,AFG3L1P
618,10939,AFG3L2
619,347028,AFG3L2P1
620,173,AFM
621,125061,AFMID
622,174,AFP
623,54812,AFTPH
624,175,AGA
625,100188771,AGA2
626,100217387,AGA3
627,109951028,A-GAMMA3'E
628,116987,AGAP1
629,653234,AGAP10P
630,119385,AGAP11
631,414224,AGAP12P
632,728005,AGAP13P
633,653259,AGAP14P
634,100506749,AGAP1-IT1
635,116986,AGAP2
636,100130776,AGAP2-AS1
637,116988,AGAP3
638,119016,AGAP4
639,729092,AGAP5
640,414189,AGAP6
641,653268,AGAP7P
642,642517,AGAP9
643,123624,AGBL1
644,727915,AGBL1-AS1
645,79841,AGBL2
646,340351,AGBL3
647,84871,AGBL4
648,101929721,AGBL4-AS1
649,100874313,AGBL4-IT1
650,60509,AGBL5
651,100874031,AGBL5-AS1
652,106481744,AGBL5-IT1
653,177,AGER
654,3267,AGFG1
655,3268,AGFG2
656,55109,AGGF1
657,100132380,AGGF1P1
658,100288774,AGGF1P10
659,644435,AGGF1P2
660,391552,AGGF1P3
661,100129351,AGGF1P4
662,100128103,AGGF1P5
663,106481737,AGGF1P6
664,100132606,AGGF1P7
665,100128804,AGGF1P8
666,100127958,AGGF1P9
667,55750,AGK
668,359793,AGKP1
669,178,AGL
670,79814,AGMAT
671,392636,AGMO
672,179,AGMX2
673,26523,AGO1
674,27161,AGO2
675,192669,AGO3
676,192670,AGO4
677,10554,AGPAT1
678,10555,AGPAT2
679,56894,AGPAT3
680,56895,AGPAT4
681,79992,AGPAT4-IT1
682,55326,AGPAT5
683,646231,AGPAT5P1
684,8540,AGPS
685,10551,AGR2
686,155465,AGR3
687,375790,AGRN
688,181,AGRP
689,100188767,AGSPX
690,183,AGT
691,23287,AGTPBP1
692,185,AGTR1
693,186,AGTR2
694,57085,AGTRAP
695,189,AGXT
696,64902,AGXT2
697,25909,AHCTF1
698,285116,AHCTF1P1
699,191,AHCY
700,10768,AHCYL1
701,23382,AHCYL2
702,340844,AHCYP1
703,392387,AHCYP2
704,402093,AHCYP3
705,129560,AHCYP4
706,391470,AHCYP5
707,100419714,AHCYP6
708,645486,AHCYP7
709,107063538,AHCYP8
710,27245,AHDC1
711,54806,AHI1
712,79026,AHNAK
713,113146,AHNAK2
714,196,AHR
715,57491,AHRR
716,10598,AHSA1
717,130872,AHSA2P
718,197,AHSG
719,51327,AHSP
720,192,AIC
721,57379,AICDA
722,64853,AIDA
723,646050,AIDAP1
724,646890,AIDAP2
725,100128360,AIDAP3
726,199,AIF1
727,83543,AIF1L
728,9131,AIFM1
729,645120,AIFM1P1
730,84883,AIFM2
731,150209,AIFM3
732,51390,AIG1
733,106479028,AIG1P1
734,201,AIH3
735,9447,AIM2
736,9255,AIMP1
737,170547,AIMP1P1
738,100873064,AIMP1P2
739,7965,AIMP2
740,9049,AIP
741,23746,AIPL1
742,7808,AIR
743,326,AIRE
744,100271873,AIRN
745,373071,AIS1
746,378426,AIS2
747,378427,AIS3
748,619405,AIS4
749,387578,AITD1
750,387579,AITD2
751,387581,AITD4
752,55966,AJAP1
753,389813,AJM1
754,84962,AJUBA
755,203,AK1
756,204,AK2
757,266920,AK2P1
758,339736,AK2P2
759,50808,AK3
760,100419074,AK3P2
761,100419075,AK3P3
762,100129959,AK3P4
763,100288319,AK3P5
764,100873789,AK3P6
765,205,AK4
766,206,AK4P1
767,100132104,AK4P2
768,645619,AK4P3
769,100128705,AK4P4
770,100526416,AK4P5
771,649288,AK4P6
772,26289,AK5
773,102157402,AK6
774,100132086,AK6P1
775,100128817,AK6P2
776,122481,AK7
777,158067,AK8
778,221264,AK9
779,642597,AKAIN1
780,8165,AKAP1
781,11216,AKAP10
782,11215,AKAP11
783,9590,AKAP12
784,11214,AKAP13
785,158798,AKAP14
786,8227,AKAP17A
787,139516,AKAP17BP
788,10566,AKAP3
789,8852,AKAP4
790,9495,AKAP5
791,9472,AKAP6
792,9465,AKAP7
793,10270,AKAP8
794,26993,AKAP8L
795,646114,AKAP8P1
796,10142,AKAP9
797,56672,AKIP1
798,79647,AKIRIN1
799,100418731,AKIRIN1P1
800,106480306,AKIRIN1P2
801,55122,AKIRIN2
802,100216487,AKIRIN2P1
803,80709,AKNA
804,254268,AKNAD1
805,10327,AKR1A1
806,231,AKR1B1
807,57016,AKR1B10
808,340888,AKR1B10P1
809,643582,AKR1B10P2
810,441282,AKR1B15
811,401982,AKR1B1P1
812,236,AKR1B1P2
813,729347,AKR1B1P3
814,390402,AKR1B1P4
815,390482,AKR1B1P5
816,100129769,AKR1B1P6
817,126242,AKR1B1P7
818,392525,AKR1B1P8
819,1645,AKR1C1
820,1646,AKR1C2
821,8644,AKR1C3
822,1109,AKR1C4
823,100996684,AKR1C5P
824,389932,AKR1C6P
825,648947,AKR1C7P
826,340811,AKR1C8P
827,6718,AKR1D1
828,80701,AKR1D1P1
829,83592,AKR1E2
830,8574,AKR7A2
831,246182,AKR7A2P1
832,22977,AKR7A3
833,246181,AKR7L
834,207,AKT1
835,84335,AKT1S1
836,208,AKT2
837,10000,AKT3
838,100874263,AKT3-IT1
839,64400,AKTIP
840,210,ALAD
841,211,ALAS1
842,212,ALAS2
843,213,ALB
844,214,ALCAM
845,126133,ALDH16A1
846,5832,ALDH18A1
847,216,ALDH1A1
848,8854,ALDH1A2
849,220,ALDH1A3
850,219,ALDH1B1
851,10840,ALDH1L1
852,100874204,ALDH1L1-AS1
853,100862662,ALDH1L1-AS2
854,160428,ALDH1L2
855,217,ALDH2
856,218,ALDH3A1
857,224,ALDH3A2
858,221,ALDH3B1
859,222,ALDH3B2
860,8659,ALDH4A1
861,7915,ALDH5A1
862,4329,ALDH6A1
863,501,ALDH7A1
864,541,ALDH7A1P1
865,542,ALDH7A1P2
866,543,ALDH7A1P3
867,544,ALDH7A1P4
868,64577,ALDH8A1
869,223,ALDH9A1
870,226,ALDOA
871,391538,ALDOAP1
872,228,ALDOAP2
873,229,ALDOB
874,230,ALDOC
875,56052,ALG1
876,84920,ALG10
877,144245,ALG10B
878,440138,ALG11
879,79087,ALG12
880,79868,ALG13
881,106478971,ALG13-AS1
882,199857,ALG14
883,101928098,ALG14-AS1
884,200810,ALG1L
885,106479037,ALG1L10P
886,106480789,ALG1L11P
887,100421097,ALG1L12P
888,106479038,ALG1L13P
889,100996649,ALG1L14P
890,730086,ALG1L15P
891,644974,ALG1L2
892,100132066,ALG1L3P
